sub_folder_name,level,level_label,level_rank,model,f1_global,f1_class,f1_association,f1_attribute,f1_cardinality
TreatmentPlans,three,L3 (real),3,claude-sonnet-4-6,0.2701315789473684,0.61,0.26,0.0,0.2105263157894736
TreatmentPlans,four,L4 (flat),4,claude-sonnet-4-6,0.2242105263157894,0.58,0.18,0.0,0.1368421052631579
TruckLogistics,zero,L0 (minimal),0,claude-sonnet-4-6,0.3937499999999999,0.57,0.35,0.38,0.275
TruckLogistics,one,L1 (simple),1,claude-sonnet-4-6,0.3874999999999999,0.57,0.35,0.38,0.25
TruckLogistics,two,L2 (mid),2,claude-sonnet-4-6,0.395,0.57,0.38,0.38,0.25
TruckLogistics,three,L3 (real),3,claude-sonnet-4-6,0.40125,0.57,0.38,0.38,0.275
TruckLogistics,four,L4 (flat),4,claude-sonnet-4-6,0.3937499999999999,0.57,0.35,0.38,0.275
University,zero,L0 (minimal),0,claude-sonnet-4-6,0.44,0.67,0.32,0.53,0.24
University,one,L1 (simple),1,claude-sonnet-4-6,0.44,0.71,0.33,0.48,0.24
University,two,L2 (mid),2,claude-sonnet-4-6,0.445,0.71,0.33,0.5,0.24
University,three,L3 (real),3,claude-sonnet-4-6,0.45,0.71,0.33,0.5,0.26
University,four,L4 (flat),4,claude-sonnet-4-6,0.345,0.57,0.18,0.47,0.16
eHome2020,zero,L0 (minimal),0,claude-sonnet-4-6,0.3525,0.59,0.32,0.24,0.26
eHome2020,one,L1 (simple),1,claude-sonnet-4-6,0.3175,0.53,0.27,0.19,0.28
eHome2020,two,L2 (mid),2,claude-sonnet-4-6,0.3675,0.62,0.32,0.25,0.28
eHome2020,three,L3 (real),3,claude-sonnet-4-6,0.3725,0.62,0.33,0.26,0.28
eHome2020,four,L4 (flat),4,claude-sonnet-4-6,0.3424999999999999,0.59,0.32,0.18,0.28
